# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Mar  5 08:26:44 2018
#
# CONSTRAINT:  where (pl_discmethod like '%transit%'
# CONSTRAINT:  and pl_k2flag = 1
# CONSTRAINT:  and dec > -15
# CONSTRAINT:  and st_teff < 5000
# CONSTRAINT:  and st_j < 12
# CONSTRAINT:  )
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [sexagesimal]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN rowupdate:      Date of Last Update
# COLUMN st_actr:        Stellar Activity log(R'HK)
# COLUMN st_actrerr:     Stellar Activity log(R'HK) Unc.
# COLUMN st_actrlim:     Stellar Activity log(R'HK) Limit Flag
# COLUMN st_j:           J-band (2MASS) [mag]
# COLUMN st_jerr:        J-band (2MASS) Unc. [mag]
# COLUMN st_jlim:        J-band (2MASS) Limit Flag
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,st_actr,st_actrerr,st_actrlim,st_j,st_jerr,st_jlim
855,K2-17,b,Transit,1,17.96753000,0.00152000,-0.00152000,0,0.119000,0.002000,-0.002000,0,,,,,,,,,,,,,0.199,0.018,-0.018,0,,,,,0,0,1,0,11h53m19.15s,178.329773,+06d24m44.1s,6.412261,,,,,4320.00,56.00,-47.00,0,0.71,0.02,-0.05,0,0.66,0.02,-0.03,0,2015-07-16,,,,11.076,0.024,0
823,K2-148,b,Transit,3,4.38395000,0.00080000,-0.00080000,0,0.045400,0.001400,-0.001400,0,,,,0,,,,0,,,,0,0.119,0.017,-0.016,0,,,,0,0,0,1,0,00h58m04.28s,14.517821,-00d11m35.4s,-0.193155,121.00,19.00,-19.00,0,4079.00,70.00,-70.00,0,0.65,0.06,-0.06,0,0.63,0.06,-0.06,0,2018-02-01,,,,11.082,0.024,0
824,K2-148,c,Transit,3,6.92260000,0.00070000,-0.00070000,0,0.061600,0.001900,-0.001900,0,,,,0,,,,0,,,,0,0.154,0.021,-0.019,0,,,,0,0,0,1,0,00h58m04.28s,14.517821,-00d11m35.4s,-0.193155,121.00,19.00,-19.00,0,4079.00,70.00,-70.00,0,0.65,0.06,-0.06,0,0.63,0.06,-0.06,0,2018-02-01,,,,11.082,0.024,0
825,K2-148,d,Transit,3,9.75790000,0.00100000,-0.00100000,0,0.077400,0.002400,-0.002400,0,,,,0,,,,0,,,,0,0.146,0.021,-0.019,0,,,,0,0,0,1,0,00h58m04.28s,14.517821,-00d11m35.4s,-0.193155,121.00,19.00,-19.00,0,4079.00,70.00,-70.00,0,0.65,0.06,-0.06,0,0.63,0.06,-0.06,0,2018-02-01,,,,11.082,0.024,0
804,K2-133,b,Transit,3,3.07120000,0.00010000,-0.00010000,0,0.033000,0.002000,-0.002000,0,,,,0,87.560,0.060,-0.050,0,,,,0,0.117,0.007,-0.007,0,,,,0,0,0,1,0,04h40m35.66s,70.148567,+25d00m36.0s,25.010006,,,,,3655.00,80.00,-80.00,0,0.51,0.03,-0.03,0,0.47,0.03,-0.03,0,2017-10-26,,,,11.084,0.021,0
805,K2-133,c,Transit,3,4.86820000,0.00010000,-0.00030000,0,0.045000,0.003000,-0.003000,0,,,,0,88.650,0.080,-0.160,0,,,,0,0.132,0.008,-0.008,0,,,,0,0,0,1,0,04h40m35.66s,70.148567,+25d00m36.0s,25.010006,,,,,3655.00,80.00,-80.00,0,0.51,0.03,-0.03,0,0.47,0.03,-0.03,0,2017-10-26,,,,11.084,0.021,0
806,K2-133,d,Transit,3,11.02340000,0.00080000,-0.00030000,0,0.077000,0.005000,-0.005000,0,,,,0,89.520,0.150,-0.060,0,,,,0,0.180,0.012,-0.012,0,,,,0,0,0,1,0,04h40m35.66s,70.148567,+25d00m36.0s,25.010006,,,,,3655.00,80.00,-80.00,0,0.51,0.03,-0.03,0,0.47,0.03,-0.03,0,2017-10-26,,,,11.084,0.021,0
837,K2-156,b,Transit,1,0.81314900,0.00005000,-0.00004900,0,,,,,,,,,84.005,4.306,-7.625,0,,,,,0.102,0.009,-0.007,0,,,,,0,0,1,0,12h10m48.04s,182.700180,-06d17m39.1s,-6.294205,,,,,4460.00,50.00,-50.00,0,0.64,0.02,-0.02,0,0.62,0.02,-0.02,0,2018-02-15,,,,11.139,0.030,0
1000,K2-68,b,Transit,1,8.05428000,0.00082000,-0.00082000,0,0.070800,0.003100,-0.003100,0,,,,,,,,,,,,,0.141,0.021,-0.021,0,,,,,0,0,1,0,22h16m04.75s,334.019775,-10d34m02.3s,-10.567318,,,,,4746.00,96.00,-96.00,0,0.73,0.10,-0.10,0,0.68,0.09,-0.09,0,2016-07-18,,,,11.139,0.027,0
772,K2-101,b,Transit,1,14.67728600,0.00082800,-0.00080400,0,,,,,0.100000,0.180000,-0.080000,0,89.400,0.400,-0.500,0,,,,,0.178,0.009,-0.009,0,,,,,0,0,1,1,08h41m22.58s,130.344086,+18d56m01.9s,18.933874,,,,,4819.00,45.00,-45.00,0,0.80,0.06,-0.06,0,0.73,0.03,-0.03,0,2016-12-21,,,,11.162,0.023,0
1031,K2-90,b,Transit,2,13.73490700,0.00079800,-0.00080200,0,0.100000,0.003000,-0.003000,0,0.070000,0.133697,-0.061103,0,89.400,0.360,-0.280,0,,,,0,0.226,0.012,-0.012,0,,,,0,0,0,1,0,03h56m36.58s,59.152405,+22d28m21.5s,22.472631,,,,,4421.98,93.48,-91.15,0,0.70,0.07,-0.07,0,0.63,0.03,-0.03,0,2017-10-26,,,,11.168,0.023,0
1032,K2-90,c,Transit,2,2.90070600,0.00033100,-0.00031900,0,0.035000,0.001000,-0.001000,0,0.190000,0.211462,-0.153189,0,86.940,1.460,-0.670,0,,,,0,0.116,0.012,-0.010,0,,,,0,0,0,1,0,03h56m36.58s,59.152405,+22d28m21.5s,22.472631,,,,,4421.98,93.48,-91.15,0,0.70,0.07,-0.07,0,0.63,0.03,-0.03,0,2017-10-26,,,,11.168,0.023,0
832,K2-154,b,Transit,2,3.67635000,0.00017000,-0.00017000,0,0.040800,0.001200,-0.001200,0,,,,0,,,,0,,,,0,0.199,0.033,-0.021,0,,,,0,0,0,1,0,12h36m00.36s,189.001511,-02d40m10.1s,-2.669481,133.00,21.00,-21.00,0,3978.00,70.00,-70.00,0,0.67,0.06,-0.06,0,0.65,0.07,-0.07,0,2018-02-01,,,,11.219,0.024,0
833,K2-154,c,Transit,2,7.95478000,0.00063000,-0.00063000,0,0.068300,0.002100,-0.002100,0,,,,0,,,,0,,,,0,0.187,0.022,-0.021,0,,,,0,0,0,1,0,12h36m00.36s,189.001511,-02d40m10.1s,-2.669481,133.00,21.00,-21.00,0,3978.00,70.00,-70.00,0,0.67,0.06,-0.06,0,0.65,0.07,-0.07,0,2018-02-01,,,,11.219,0.024,0
773,K2-102,b,Transit,1,9.91561500,0.00120900,-0.00119500,0,,,,,0.100000,0.160000,-0.070000,0,89.000,0.600,-0.600,0,,,,,0.116,0.009,-0.009,0,,,,,0,0,1,1,08h40m13.45s,130.056046,+19d46m43.7s,19.778811,,,,,4695.00,50.00,-50.00,0,0.77,0.06,-0.06,0,0.71,0.03,-0.03,0,2016-12-21,,,,11.282,0.022,0
944,K2-25,b,Transit,1,3.48455200,0.00003100,-0.00003700,0,,,,0,0.270000,0.160000,-0.210000,0,88.300,1.200,-0.700,0,,,,0,0.306,0.085,-0.028,0,,,,0,0,0,1,0,04h13m05.62s,63.273434,+15d14m51.9s,15.247763,,,,,3180.00,60.00,-60.00,0,0.29,0.02,-0.02,0,0.29,0.02,-0.02,0,2017-09-28,,,,11.303,0.021,0
791,K2-121,b,Transit,1,5.18575400,0.00019500,-0.00020100,0,0.052000,0.002000,-0.002000,0,0.220000,0.194341,-0.183890,0,87.250,0.910,-0.450,0,,,,0,0.814,0.059,-0.061,0,,,,0,0,0,1,0,08h27m44.81s,126.936722,+17d34m45.8s,17.579397,,,,,4471.38,111.56,-103.57,0,0.71,0.07,-0.07,0,0.77,0.04,-0.04,0,2017-10-05,,,,11.309,0.022,0
846,K2-163,b,Transit,1,6.67311700,0.00031600,-0.00030300,0,,,,,,,,,88.253,1.280,-2.188,0,,,,,0.220,0.023,-0.011,0,,,,,0,0,1,0,12h09m19.04s,182.329346,-00d32m20.6s,-0.539055,,,,,4937.00,50.00,-50.00,0,0.83,0.02,-0.02,0,0.76,0.02,-0.01,0,2018-02-15,,,,11.310,0.024,0
945,K2-26,b,Transit,1,14.56650000,0.00160000,-0.00200000,0,0.096200,0.005400,-0.006100,0,,,,,88.400,1.200,-1.500,0,,,,,0.238,0.041,-0.037,0,,,,,0,0,1,0,06h16m49.58s,94.206581,+24d35m47.1s,24.596411,,,,,3785.00,185.00,-185.00,0,0.56,0.10,-0.10,0,0.52,0.08,-0.08,0,2016-01-21,,,,11.350,0.024,0
3500,TRAPPIST-1,b,Transit,7,1.51087081,0.00000060,-0.00000060,0,0.011110,0.000340,-0.000340,0,0.081000,,,1,89.650,0.220,-0.270,0,0.00267,0.00227,-0.00227,0,0.097,0.003,-0.003,0,3.60000,3.10000,-3.10000,0,1,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.10,0.40,-0.40,0,2559.00,50.00,-50.00,0,0.08,0.01,-0.01,0,0.12,0.00,0.00,0,2017-02-22,,,,11.354,0.018,0
3501,TRAPPIST-1,c,Transit,7,2.42182330,0.00000170,-0.00000170,0,0.015210,0.000470,-0.000470,0,0.083000,,,1,89.670,0.170,-0.170,0,0.00434,0.00192,-0.00192,0,0.094,0.003,-0.003,0,6.45000,2.92000,-2.92000,0,1,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.10,0.40,-0.40,0,2559.00,50.00,-50.00,0,0.08,0.01,-0.01,0,0.12,0.00,0.00,0,2017-02-22,,,,11.354,0.018,0
3502,TRAPPIST-1,d,Transit,7,4.04961000,0.00006300,-0.00006300,0,0.021440,0.000660,-0.000630,0,0.070000,,,1,89.750,0.160,-0.160,0,0.00129,0.00085,-0.00085,0,0.069,0.003,-0.003,0,4.90000,3.30000,-3.30000,0,1,0,1,2,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.10,0.40,-0.40,0,2559.00,50.00,-50.00,0,0.08,0.01,-0.01,0,0.12,0.00,0.00,0,2017-02-22,,,,11.354,0.018,0
3503,TRAPPIST-1,e,Transit,7,6.09961500,0.00001100,-0.00001100,0,0.028170,0.000830,-0.000870,0,0.085000,,,1,89.860,0.100,-0.120,0,0.00195,0.00182,-0.00182,0,0.082,0.003,-0.003,0,4.40000,4.20000,-4.20000,0,1,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.10,0.40,-0.40,0,2559.00,50.00,-50.00,0,0.08,0.01,-0.01,0,0.12,0.00,0.00,0,2017-02-22,,,,11.354,0.018,0
3504,TRAPPIST-1,f,Transit,7,9.20669000,0.00001500,-0.00001500,0,0.037100,0.001100,-0.001100,0,0.063000,,,1,89.680,0.034,-0.034,0,0.00214,0.00057,-0.00057,0,0.093,0.003,-0.003,0,3.30000,0.94000,-0.94000,0,1,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.10,0.40,-0.40,0,2559.00,50.00,-50.00,0,0.08,0.01,-0.01,0,0.12,0.00,0.00,0,2017-02-22,,,,11.354,0.018,0
3505,TRAPPIST-1,g,Transit,7,12.35294000,0.00012000,-0.00012000,0,0.045100,0.001400,-0.001400,0,0.061000,,,1,89.710,0.025,-0.025,0,0.00422,0.00277,-0.00277,0,0.101,0.004,-0.004,0,5.20000,3.50000,-3.50000,0,1,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.10,0.40,-0.40,0,2559.00,50.00,-50.00,0,0.08,0.01,-0.01,0,0.12,0.00,0.00,0,2017-02-22,,,,11.354,0.018,0
3506,TRAPPIST-1,h,Transit,7,18.76700000,0.00400000,-0.00300000,0,,,,,,,,,89.760,0.050,-0.040,0,,,,,0.067,0.003,-0.003,0,,,,,0,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.10,0.40,-0.40,0,2559.00,50.00,-50.00,0,0.08,0.01,-0.01,0,0.12,0.00,0.00,0,2017-06-15,,,,11.354,0.018,0
1033,K2-91,b,Transit,1,1.41954900,0.00007100,-0.00007100,0,0.016400,0.001100,-0.001100,0,,,,,,,,,,,,,0.098,0.016,-0.016,0,,,,,0,0,1,0,04h12m52.34s,63.218063,+24d12m18.4s,24.205112,,,,,3622.00,104.00,-104.00,0,0.29,0.06,-0.06,0,0.28,0.04,-0.04,0,2016-07-18,,,,11.433,0.021,0
785,K2-117,b,Transit,2,1.29150500,0.00004000,-0.00004000,0,0.019000,0.001000,-0.001000,0,0.060000,0.138304,-0.053132,0,88.360,1.140,-1.370,0,,,,0,0.175,0.011,-0.011,0,,,,0,0,0,1,0,08h55m25.36s,133.855682,+10d28m08.9s,10.469131,100.00,14.00,-14.00,0,3842.12,82.26,-81.78,0,0.58,0.06,-0.06,0,0.49,0.03,-0.03,0,2017-10-05,,,,11.447,0.023,0
786,K2-117,c,Transit,2,5.44482000,0.00039700,-0.00041700,0,0.051000,0.002000,-0.002000,0,0.150000,0.178886,-0.115822,0,89.490,0.360,-0.480,0,,,,0,0.181,0.012,-0.012,0,,,,0,0,0,1,0,08h55m25.36s,133.855682,+10d28m08.9s,10.469131,100.00,14.00,-14.00,0,3842.12,82.26,-81.78,0,0.58,0.06,-0.06,0,0.49,0.03,-0.03,0,2017-10-05,,,,11.447,0.023,0
826,K2-149,b,Transit,1,11.33200000,0.00130000,-0.00130000,0,0.083000,0.002700,-0.002700,0,,,,0,,,,0,,,,0,0.146,0.018,-0.016,0,,,,0,0,0,1,0,00h39m17.26s,9.821899,+07d16m37.6s,7.277100,118.00,18.00,-18.00,0,3745.00,70.00,-70.00,0,0.59,0.06,-0.06,0,0.57,0.06,-0.06,0,2018-02-01,,,,11.452,0.022,0
1021,K2-83,b,Transit,2,2.74697000,0.00018000,-0.00018000,0,0.030140,0.000410,-0.000410,0,,,,,,,,,,,,,0.111,0.009,-0.009,0,,,,,0,0,1,0,03h59m36.37s,59.901562,+15d33m32.0s,15.558886,,,,,3910.00,49.00,-49.00,0,0.48,0.02,-0.02,0,0.42,0.02,-0.02,0,2016-07-18,,,,11.599,0.021,0
1022,K2-83,c,Transit,2,9.99767000,0.00081000,-0.00081000,0,0.071310,0.000960,-0.000960,0,,,,,,,,,,,,,0.132,0.009,-0.009,0,,,,,0,0,1,0,03h59m36.37s,59.901562,+15d33m32.0s,15.558886,,,,,3910.00,49.00,-49.00,0,0.48,0.02,-0.02,0,0.42,0.02,-0.02,0,2016-07-18,,,,11.599,0.021,0
1005,K2-72,b,Transit,4,5.57721200,0.00041700,-0.00041900,0,0.040000,0.004000,-0.005000,0,0.110000,0.196982,-0.087659,0,89.150,0.590,-0.860,0,,,,0,0.096,0.010,-0.010,0,,,,0,0,0,1,0,22h18m29.27s,334.621979,-09d36m44.6s,-9.612382,,,,,3360.47,87.24,-86.34,0,0.27,0.08,-0.09,0,0.33,0.03,-0.03,0,2017-10-26,,,,11.685,0.023,0
1006,K2-72,c,Transit,4,15.18903400,0.00312800,-0.00314900,0,0.078000,0.007000,-0.010000,0,0.110000,0.201970,-0.091536,0,89.540,0.320,-0.440,0,,,,0,0.103,0.012,-0.012,0,,,,0,0,0,1,0,22h18m29.27s,334.621979,-09d36m44.6s,-9.612382,,,,,3360.47,87.24,-86.34,0,0.27,0.08,-0.09,0,0.33,0.03,-0.03,0,2017-10-26,,,,11.685,0.023,0
1007,K2-72,d,Transit,4,7.76017800,0.00149600,-0.00149600,0,0.050000,0.004000,-0.006000,0,0.110000,0.207832,-0.092330,0,89.260,0.500,-0.690,0,,,,0,0.090,0.011,-0.011,0,,,,0,0,0,1,0,22h18m29.27s,334.621979,-09d36m44.6s,-9.612382,,,,,3360.47,87.24,-86.34,0,0.27,0.08,-0.09,0,0.33,0.03,-0.03,0,2017-10-26,,,,11.685,0.023,0
1008,K2-72,e,Transit,4,24.15886800,0.00372600,-0.00385000,0,0.106000,0.009000,-0.013000,0,0.110000,0.198676,-0.086832,0,89.680,0.220,-0.320,0,,,,0,0.115,0.012,-0.012,0,,,,0,0,0,1,0,22h18m29.27s,334.621979,-09d36m44.6s,-9.612382,,,,,3360.47,87.24,-86.34,0,0.27,0.08,-0.09,0,0.33,0.03,-0.03,0,2017-10-26,,,,11.685,0.023,0
947,K2-28,b,Transit,1,2.26045500,0.00004100,-0.00004100,0,0.021400,0.001300,-0.001300,0,0.000000,,,0,88.900,0.800,-1.200,0,,,,,0.207,0.021,-0.021,0,,,,,0,0,1,0,22h22m29.85s,335.624390,-07d57m19.3s,-7.955366,,,,,3214.00,60.00,-60.00,0,0.26,0.05,-0.05,0,0.29,0.03,-0.03,0,2016-02-25,,,,11.695,0.030,0
810,K2-137,b,Transit,1,0.17971500,0.00000100,-0.00000100,0,0.005800,0.000600,-0.000600,0,0.000000,,,0,89.600,3.300,-3.300,0,0.50000,,,1,0.079,0.008,-0.008,0,,,,0,0,0,1,0,12h27m28.97s,186.870728,-06d11m42.8s,-6.195224,,,,,3492.00,70.00,-70.00,0,0.46,0.05,-0.05,0,0.44,0.04,-0.04,0,2017-11-16,,,,11.764,0.026,0
793,K2-123,b,Transit,1,30.95676300,0.00258900,-0.00272000,0,0.167000,0.005000,-0.006000,0,0.060000,0.144415,-0.051458,0,89.790,0.140,-0.170,0,,,,0,0.236,0.013,-0.013,0,,,,0,0,0,1,0,08h57m46.60s,134.444183,+21d27m12.7s,21.453533,156.00,24.00,-24.00,0,4075.67,82.80,-81.14,0,0.65,0.06,-0.06,0,0.57,0.03,-0.03,0,2017-10-05,,,,11.907,0.020,0
